1.3928,3.0143,0.56785
1.4366,3.0257,0.54118
1.4733,3.0274,0.52255
1.496,3.0435,0.50994
1.5192,3.032,0.49238
1.5337,3.0121,0.45398
1.5678,3.0062,0.44
1.5807,2.9995,0.42592
1.5933,2.9971,0.41424
1.6054,3.0181,0.39254
1.6427,3.024,0.39427
1.6441,3.018,0.3594
1.6813,3.0247,0.34239
1.7053,3.0176,0.31381
1.7342,3.0231,0.30009
1.7537,3.0322,0.28432
1.7782,3.0214,0.27888
1.7774,3.0111,0.26341
1.7887,3.0212,0.26297
1.7959,3.0226,0.25543
1.8057,3.0329,0.23308
1.8389,3.0308,0.20548
1.87,3.0413,0.21137
1.8704,3.0415,0.18231
1.9049,3.036,0.17596
1.9084,3.0415,0.15663
1.9353,3.041,0.14939
1.9435,3.034,0.14857
1.9393,3.0219,0.13942
1.941,3.0294,0.12609
1.9622,3.0421,0.11589
1.9839,3.0415,0.10762
1.9933,3.0448,0.10227
2.0022,3.0353,0.095542
2.0028,3.0549,0.090714
2.0238,3.0795,0.068889
2.0697,3.0777,0.042307
2.1003,3.0804,0.041313
2.1037,3.0781,0.034164
2.1104,3.0646,0.024286
2.1111,3.0575,-0.0048029
2.14,3.0455,-0.022712
2.1511,3.0546,-0.04026
2.1798,3.064,-0.044902
2.1935,3.055,-0.050112
2.1918,3.0663,-0.068671
2.224,3.0778,-0.083086
2.2516,3.0614,-0.096777
2.2532,3.0594,-0.08755
2.2404,3.0602,-0.10563
2.2627,3.0416,-0.10096
2.2403,3.0407,-0.11364
2.2544,3.0679,-0.11991
2.2867,3.0514,-0.12305
2.2753,3.0729,-0.1359
2.3106,3.0617,-0.15293
2.3204,3.0565,-0.14371
2.3047,3.0532,-0.14215
2.2997,3.052,-0.14038
2.2965,3.0307,-0.13602
2.2718,3.022,-0.14502
2.2743,3.0249,-0.15519
2.2888,3.0147,-0.17355
2.3009,3.0237,-0.18787
2.326,3.0371,-0.1819
2.3316,3.0354,-0.19079
2.3404,3.0323,-0.17763
2.3221,3.0362,-0.19068
2.3411,3.0332,-0.19032
2.3378,3.0334,-0.19213
2.3401,3.0427,-0.21274
2.3733,3.0455,-0.22323
2.3884,3.0482,-0.24356
2.4151,3.0434,-0.24126
2.4077,3.0449,-0.24842
2.4176,3.0236,-0.26181
2.4122,3.0247,-0.27373
2.4272,3.0295,-0.27927
2.4385,3.0247,-0.28994
2.4461,3.0393,-0.29851
2.471,3.0372,-0.29831
2.4686,3.0587,-0.28762
2.4778,3.056,-0.27849
2.4643,3.0497,-0.2717
2.4498,3.0456,-0.2843
2.4607,3.039,-0.29122
2.4621,3.0403,-0.31112
2.4868,3.0294,-0.30535
2.469,3.0277,-0.32732
2.4928,3.0232,-0.3375
2.5001,3.0215,-0.33587
2.4964,3.0172,-0.32377
2.4779,3.0216,-0.34111
2.5026,3.0306,-0.3389
2.5094,3.0327,-0.3314
2.5028,3.0391,-0.33684
2.5158,3.0294,-0.34223
2.5121,3.0136,-0.36503
2.5221,3.0207,-0.35671
2.5199,3.0166,-0.37353
2.5351,3.0155,-0.39578
2.5597,3.0315,-0.40127
2.5833,3.0282,-0.43157
2.6151,3.0324,-0.42538
2.6124,3.0411,-0.41719
2.6123,3.0172,-0.40698
2.5745,3.0124,-0.40413
2.5661,2.9938,-0.40298
2.5449,3.0033,-0.41439
2.5682,2.9988,-0.40992
2.5582,2.9984,-0.42617
2.5764,2.9815,-0.4456
2.5804,2.9802,-0.45682
2.5916,2.979,-0.44967
2.5822,2.9834,-0.46454
2.6039,2.9863,-0.4663
2.6091,2.9956,-0.45534
2.6068,2.9879,-0.45695
2.6002,2.9825,-0.45926
2.5969,2.9765,-0.46193
2.5935,2.9744,-0.49797
2.6319,2.9644,-0.51054
2.6349,2.9527,-0.50517
2.6159,2.9566,-0.50841
2.6238,2.9494,-0.51241
2.6202,2.9572,-0.52529
2.6434,2.9784,-0.52146
